Creator,Suggested Product 1,Product ID 1,Total GMV 1,Suggested Product 2,Product ID 2,Total GMV 2,Suggested Product 3,Product ID 3,Total GMV 3,Suggested Product 4,Product ID 4,Total GMV 4,Suggested Product 5,Product ID 5,Total GMV 5
_alanacalvs,PrettyGarden Women's Oversized Cardigan Sweater Fall Long Lantern Sleeve Knit Open Front Lightweight Sweater Knitwear Tops,1731208195967717743,"$233,775.79",Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,"$190,863.73",Halara One Shoulder Long Sleeve Thumb Hole Curved Hem High Low Quick Dry Yoga Sports Top-Built-in Bra,1731918375289458980,"$94,657.54",OEAK Womens Jelly Bras Wireless Comfortable Soft Push Up Bralettes Seamless Tshirts Bras Deep V Everyday Bras,1729714461980332262,"$94,127.84",DOBREVA Women's Unlined Balconette Bra No Padded Underwire Supportive Plus Size Smooth Scoop Neck,1731395246467027235,"$83,146.85"
_karina.michelle,"Bella Vita Luxury's Honey Oud | Eau de Parfum 100ml (3.4 fl oz) | Patchouli, Vanilla, Bergamot | Floral & Spicy | Made with Clean & Vegan Essentials Oils | Cruelty Free Fragrance Perfume",1729413742968869814,"$286,321.14",tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,"$146,945.86",To-Go Buddy - Universal Cup Insulator for to-go cups - Keeps Drinks Hot Cold 12+ Hours - Vacuum Insulated Tumbler,1729430518270038922,"$84,555.27","2-Color Smooth Eyeshadow Stick Set, Long-Lasting Waterproof Makeup Products, Matte Highlighter & Glossy Eye Pencil, Easy Colored Eyeshadow for Beginners",1732305739916809186,"$71,357.05",Frost Buddy Halloween,1732471007461348234,"$48,773.00"
ababyandabulldog,PrettyGarden Women's Oversized Cardigan Sweater Fall Long Lantern Sleeve Knit Open Front Lightweight Sweater Knitwear Tops,1731208195967717743,"$233,775.79",Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,"$190,863.73",Halara One Shoulder Long Sleeve Thumb Hole Curved Hem High Low Quick Dry Yoga Sports Top-Built-in Bra,1731918375289458980,"$94,657.54",OEAK Womens Jelly Bras Wireless Comfortable Soft Push Up Bralettes Seamless Tshirts Bras Deep V Everyday Bras,1729714461980332262,"$94,127.84",DOBREVA Women's Unlined Balconette Bra No Padded Underwire Supportive Plus Size Smooth Scoop Neck,1731395246467027235,"$83,146.85"
abbey.kline,"Bella Vita Luxury's Honey Oud | Eau de Parfum 100ml (3.4 fl oz) | Patchouli, Vanilla, Bergamot | Floral & Spicy | Made with Clean & Vegan Essentials Oils | Cruelty Free Fragrance Perfume",1729413742968869814,"$286,321.14",tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,"$146,945.86",To-Go Buddy - Universal Cup Insulator for to-go cups - Keeps Drinks Hot Cold 12+ Hours - Vacuum Insulated Tumbler,1729430518270038922,"$84,555.27","2-Color Smooth Eyeshadow Stick Set, Long-Lasting Waterproof Makeup Products, Matte Highlighter & Glossy Eye Pencil, Easy Colored Eyeshadow for Beginners",1732305739916809186,"$71,357.05",Frost Buddy Halloween,1732471007461348234,"$48,773.00"
alexandraarosee,PrettyGarden Women's Oversized Cardigan Sweater Fall Long Lantern Sleeve Knit Open Front Lightweight Sweater Knitwear Tops,1731208195967717743,"$233,775.79",Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,"$190,863.73",OEAK Womens Jelly Bras Wireless Comfortable Soft Push Up Bralettes Seamless Tshirts Bras Deep V Everyday Bras,1729714461980332262,"$94,127.84",DOBREVA Women's Unlined Balconette Bra No Padded Underwire Supportive Plus Size Smooth Scoop Neck,1731395246467027235,"$83,146.85",INLYRIC Women's Teardrop Push Up Bra Padded Supportive Underwire Add 1 Cup Seamless Tshirt Sexy Lift Up Plunge Bras Fit Foam Elastic Smooth Straps Womenswear,1732293573760028912,"$78,767.86"
alexandracaste,"Bella Vita Luxury's Honey Oud | Eau de Parfum 100ml (3.4 fl oz) | Patchouli, Vanilla, Bergamot | Floral & Spicy | Made with Clean & Vegan Essentials Oils | Cruelty Free Fragrance Perfume",1729413742968869814,"$286,321.14",tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,"$146,945.86","2-Color Smooth Eyeshadow Stick Set, Long-Lasting Waterproof Makeup Products, Matte Highlighter & Glossy Eye Pencil, Easy Colored Eyeshadow for Beginners",1732305739916809186,"$71,357.05","tarte BB blur tinted moisturizer SPF 30 - instantly brightens, hydrates & smooths your skin",1729584174847071164,"$58,329.25",tarte colored clay CC undereye corrector,1729734769623929788,"$54,059.78"
aliciamariecacho,"Bella Vita Luxury's Honey Oud | Eau de Parfum 100ml (3.4 fl oz) | Patchouli, Vanilla, Bergamot | Floral & Spicy | Made with Clean & Vegan Essentials Oils | Cruelty Free Fragrance Perfume",1729413742968869814,"$286,321.14",PrettyGarden Women's Oversized Cardigan Sweater Fall Long Lantern Sleeve Knit Open Front Lightweight Sweater Knitwear Tops,1731208195967717743,"$233,775.79",Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,"$190,863.73",tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,"$146,945.86",OEAK Womens Jelly Bras Wireless Comfortable Soft Push Up Bralettes Seamless Tshirts Bras Deep V Everyday Bras,1729714461980332262,"$94,127.84"
alisammarie,Halara One Shoulder Long Sleeve Thumb Hole Curved Hem High Low Quick Dry Yoga Sports Top-Built-in Bra,1731918375289458980,"$94,657.54","Medium Firm Hybrid Memory Foam Mattress - 8/10/12/14 in Twin, Full, Queen, King Sizes, Lumbar Support, Ergonomic Design, for Home Rooms, Hotels, Boxed Furniture Gift, Memory Foam Mattresses, Queen Size Mattress,dorm essentials,home decor",1730092261582738160,"$62,269.77",【Creator’s Pick】Halara Flex High Waisted Pocket Wide Leg Waffle Work Pants #BackToSchool,1729408758258766116,"$35,254.76",Halara Flex DayStretch High Waisted Pocket Straight Leg Work Pants #BackToSchool,1729535261465612580,"$35,166.51","【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 3"" Set #BackToSchool",1730762320809595172,"$34,544.04"
allthings_andrea,Halara One Shoulder Long Sleeve Thumb Hole Curved Hem High Low Quick Dry Yoga Sports Top-Built-in Bra,1731918375289458980,"$94,657.54",【Creator’s Pick】Halara Flex High Waisted Pocket Wide Leg Waffle Work Pants #BackToSchool,1729408758258766116,"$35,254.76",Halara Flex DayStretch High Waisted Pocket Straight Leg Work Pants #BackToSchool,1729535261465612580,"$35,166.51","【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 3"" Set #BackToSchool",1730762320809595172,"$34,544.04","YEOREO Women's Halter Neck Sports Bra Longline Workout Tank Top with Built-in Bra Backless Strappy Gym Top Buttery Soft Padded Yoga Cami summderfinds,travel essentials,camping essentials tiktokshopbacktoschool,back to school,back to school haul",1732405592203432921,"$26,436.20"
alykate97,"Medium Firm Hybrid Memory Foam Mattress - 8/10/12/14 in Twin, Full, Queen, King Sizes, Lumbar Support, Ergonomic Design, for Home Rooms, Hotels, Boxed Furniture Gift, Memory Foam Mattresses, Queen Size Mattress,dorm essentials,home decor",1730092261582738160,"$62,269.77",The Barb Wire Choker Danielle Guizio X The M Jewelers,1732377057880544126,"$35,425.36","【Back to school】Dowinx Big and Tall Office Chair with Pocket Spring Cushion,High Back Computer Gaming Chairs with Linkage Armrests,Executive Desk Chairs with Footrest,PU Leather",1732199719185846685,"$27,950.54","Women's 5-Pair Viral Cute Halloween Crew Socks Set, Calf-High Knit, Soft Stretch Warm Playful Print Pumpkin Ghosts, Fall Winter Essentials for Adults, Whimsical Gifts",1732470364146930295,"$13,760.41",JASGOOD Women Wide Chunky Belt for Dresses Fashion Thick Suede Belt with Gold Buckle,1732071333641097693,"$13,498.39"
