Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
_alanacalvs,Womenswear & Underwear,"$192,399.79",Sports & Outdoor,"$54,576.55",【4 Lengths】Magic ONESO Mid-low Rise BBL Jeans Stretchy Wide Leg Tummy Control Distressed Baggy Denim Pants Plus Size Regular Size Curve Hugging Fall Fashion,1732412928253268991,"$69,302.28",Magic ONESO Mid-low Rise Baggy Jeans Stretchy Wide Leg for Women Distressed Pants Womenswear Bottom 8001 Lady Basic Minimalist Comfortable Denim Tummy Control Curve Hugging Plus Size Regular Size BBL Fall Fashion Daily Outfits,1729445477031121919,"$63,395.08","【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 3"" Set #BackToSchool",1730762320809595172,"$30,328.42",Comfrt | Cloud Zip Hoodie - Mega | Soft Mega Oversized Zip Up Hoodie For Men & Women,1729417808759264131,"$6,736.65","CRZ YOGA Softretch No Front Seam Wide Leg Pants 28""/30""/32"" for Women - High Waisted Yoga Lounge Buttery Soft Comfy Casual",1732133391358333729,"$6,282.55"
_karina.michelle,Beauty & Personal Care,"$107,868.82",Kitchenware,"$7,567.16",Fenty Skin Butta Drop Body Cream + Body Milk Body Care Hydrating Lotion Duo,1729716038966481710,"$16,203.15","Dolly Parton Heaven's Kiss Lipstick Makeup - Satin Finish, Moisturizing, Lightweight, Vegan, Paraben-Free, Rhinestone-Studded Case",1731500263722750439,"$7,852.13","e.l.f. Glow Reviver Melting Lip Balm, Hydrating Lip Balm High-Gloss Shine and Buildable Color 15.4mL",1730991053913559331,"$7,484.91",First Class Jetsetter Beauty Bundle Kit - Mini Exclusive Pink or Lilac Suitcase plus Naked Sundays bestselling SPF and Skincare products  (SAVE 40%),1732513464542401408,"$6,997.37",Scent From Above Gift Set,1732077251359576551,"$6,944.02"
ababyandabulldog,Womenswear & Underwear,"$89,156.98",Sports & Outdoor,"$86,428.85","Tanming Women's Baggy Wide-Leg Pants - Casual, Elastic-Waisted, Bohemian Minimalist Basic Women's Clothes Bottom with Pockets,summerwins,summeroutfits,vacationoutfits,beachoutfits,back to school shopping",1729491434710208659,"$48,079.68",Birkenstock Suede Clog - Buckley,1729878427130696647,"$16,407.25",PAVOI 14K Gold Plated Adjustable Matching Bracelets for Women – Heart Charm and BFF Friendship Styles,1730595722208973320,"$15,910.77",HEYDUDE Delray Clog Suede – Womens Comfortable Slip on Platform Clog,1731467723863921200,"$14,828.90",【Creator’s Pick】Halara UltraSculpt High Waisted Tummy Control Pocket Shaping Training Leggings #BackToSchool,1729406821413261604,"$11,760.10"
abbey.kline,Beauty & Personal Care,"$33,926.32",Kitchenware,"$3,475.44",tarte glow wardrobe eye & cheek palette - eyeshadow and highlighter makeup,1729570012796261308,"$5,597.23","tarte BB blur tinted moisturizer SPF 30 - instantly brightens, hydrates & smooths your skin",1729584174847071164,"$3,219.21",tarte maracuja juicy multi-stick + brush - double-ended cream blush & bronzer stick,1732418830638027708,"$3,026.07","2-Pcs Halloween Icon Beverage Glass Set, Ghost-Pumpkin Element Hand-Blown Stemless Double Old Fashioned Drinkware with Spill-Reducing Hold, Ghost Icon Style Halloween Home Goods for Boo Basket Fall Gift",1731434701947310826,"$2,226.03",HUELIGHTER Multi-Dimensional Highlighter,1732307682052772635,"$2,033.84"
alexandraarosee,Womenswear & Underwear,"$3,576.39",Baby & Maternity,"$3,177.31",Modal Cotton Foldover Wide-Leg Pants,1732401825526682144,"$2,586.98",Vitality Cloud II™ Maternity Pant,1732211039095197736,"$1,615.60","Momcozy Pregnancy yoga ball Maternity exercise ball BirthEase Maternity Ball Set – Support Through Pregnancy & Beyond. Designed specifically for the modern mom-to-be, the Set offers thoughtful support throughout pregnancy, labor .",1732303350013662183,$807.07,Danysu V Neck Cotton Tank Tops with Built-in Shelf Bra Sleeveless Racerback Fitted Basic Cami Shirts,1731397819019989366,$646.51,MOMANDA Cropped Maternity Tops Summer Short Sleeve Modal Cotton Loose Maternity Tshirts Ultra Soft,1732401819480592928,$250.00
alexandracaste,Beauty & Personal Care,$156.55,Food & Beverages,$61.89,"Wavytalk Bare It IPL Hair Removal with Ice Cooling, 3 Modes & 24J Dual-Pulse for Salon-Level Results on Face, Body & Bikini, Painless & Precise",1729531973032121205,$139.99,"Lunch Box Set, 1 Set Including Lunch Box & Soup Cup, Food Container for School, Microwave & Dishwasher Safe Lunch Box Set, Bento Lunch Box, Portable Lunch Box, Microwavable Bento Box, Portable Food Storage, Containers for Food",1731139205163488196,$30.56,Don Beto's Beef Jerky - Fuego,1729719309656297668,$27.86,Mazapan Powder Bag | 2lb - Powder Mix for Baking Authentic Mexican Recipes,1732476236165911190,$22.19,"Funny Lipstick Merry Dickmas | Viral Funny Lipstick | Long-Lasting Hydrating Lipstick | Everyday Wearable Shades with a Holiday Twist | Holiday Gift for Women | Funny Gag Gift, Stocking Stuffer, White Elephant & Secret Santa Gift Ideas",1731957254656922000,$16.56
aliciamariecacho,Womenswear & Underwear,$160.98,Beauty & Personal Care,$22.40,"Women’s Seamless Shaping Bodysuit - Long Sleeve V-Neck Tummy Control Thong Clothes, Cute Arm Shaper, Lightweight Compression Fabric, Everyday Spring Wear (Fashion Nova Style, Leggings-Inspired Look, Wedding-Ready) Smooth Womenswear",1731784970783789181,$102.40,"Women's Solid Square Neck Long Sleeve Compress Shapewear Bodysuit, Casual Comfy Tummy Control Butt Lift Shaper, Ladies Shapewear for All Seasons",1729614179939750063,$58.58,"Laneige Hydration to Go Skincare Set, Hydrating, Gift Set",1731705500788625741,$22.40,,,,,,
alisammarie,Furniture,"$1,525.65",Sports & Outdoor,"$1,258.48",[Summervibes] Tribesigns 63-Inch Long French Country Style Wooden Sofa Table for Living Room & Entryway Natural Finish Modern Farmhouse Decor with Sturdy MDF Construction & Foot Pads for Stability,1731489542250795771,"$1,193.20",Halara Adjustable Straps Ruched Wide Leg Heathered Casual Jumpsuit with Pockets-Easy Peezy,1732255696408843102,$928.61,"【2026 New Arrivals】Trucozie T550 Cordless Vacuum Cleaner, 40kPa Powerful Suction Smart Stick Vacuum with 50 Mins Runtime, 8-in-1 Lightweight Handheld/Upright Vacuum for Hardwood Floor, Carpet, Pet Hair & Car, Cordless Handheld Vacuum, Home Cleaning Tool",1731578192195392132,$704.89,The Mini Discovery Set,1730273546600747017,$427.77,"GIZOON 4-Piece Patio Furniture Set, Textilene Conversation Set, Black | Weather-resistant Textilene Set with Wooden Armrests, 2 Rocking Chairs and Coffee Table for Patio, Balcony and Outdoor Living",1731386149963534650,$332.45
allthings_andrea,Sports & Outdoor,$96.29,,,"Foldable Travel Yoga Mat with Storage Bag, 1 Count Portable Exercise Mat, Fitness Equipment for Home Gym Workout Mat Pilates Home",1729408794300748065,$96.29,,,,,,,,,,,,
alykate97,Fashion Accessories,"$20,217.19",Furniture,"$5,226.32","Tasiso Women's Sparkling CZ Pendant Necklace - 39cm Transparent Cord, Adjustable Minimalist Choker, Office Attire Everyday Layering Necklaces, Gifts for Women",1731992960085430403,"$15,124.93","【2Packages Shipping】Queen/Full Size Murphy Bed with 2 LED Lights, Farmhouse Wood Hidden Foldable Wall Bed Frame w/Gas Struts, Storage Bed Cabinet for Bedroom, Office, Space-Saving, No Box Spring Needed, Rustic White/Brown",1731495075783873003,"$5,226.32",PAVOI 14K Gold Plated Lobe Lifters for Heavy Earrings for Women - Earring Backs for Droopy Ears - Comfortable Earring Backings for Studs - Trendy Fashion Jewelry Accessories,1731648186027250184,"$3,158.98","Turandoss Women's Dainty Golden Heart Initial Necklace - A-Z Letter Tag Pendant Jewelry for Women, Mom Birthday Gifts, Personalized Summerwins Costume Accessory, Gold Lettering Necklaces",1731158885662232626,"$1,625.19",AUSELILY Babydoll Dress for Women Short Sleeve Button Down Textured Non-clingy Loose Fit Flowy Mini Dress with Pockets 2026 New Summer Dress Beachy Style Dress Casual,1732071775099523793,"$1,128.78"
