Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
_alanacalvs,Womenswear & Underwear,"$55,559.64",Sports & Outdoor,"$21,086.09",Magic ONESO Mid-low Rise Baggy Jeans Stretchy Wide Leg for Women Distressed Pants Womenswear Bottom 8001 Lady Basic Minimalist Comfortable Denim Tummy Control Curve Hugging Plus Size Regular Size BBL Spring Fashion Daily Outfits,1729445477031121919,"$22,187.48",【4 Lengths】Magic ONESO Mid-low Rise Baggy BBL Jeans Stretchy Wide Leg Tummy Control Plus Size Regular Size,1732412928253268991,"$15,688.93","【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 3"" Set",1730762320809595172,"$13,454.07",Comfrt | Cloud Zip Hoodie - Mega | Soft Mega Oversized Zip Up Hoodie For Men & Women,1729417808759264131,"$2,122.05",【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts Set 5''-Longer Length,1730762001521283364,"$1,653.93"
_karina.michelle,Beauty & Personal Care,"$20,206.00",Kitchenware,"$3,092.29",First Class Jetsetter Beauty Bundle Kit - Mini Exclusive Pink Suitcase plus Naked Sundays bestselling SPF and Skincare products  (SAVE 40%),1732513464542401408,"$3,543.42",Daily Hydration Glass Bottle,1729507512389243913,"$2,651.43",Never Thirsty Shampoo & Conditioner: Moisturize + Strengthen in One Set,1732436624532803875,"$1,884.75",tarte x FINNSUL flutter & focus set + CC undereye - FREE tartelette tubing black mascara & FINNSUL electrolyte supplement,1732304110560121788,"$1,238.41","Sol de Janeiro Cheirosa Perfume Mist Best Sellers Set | TikTok Shop Exclusive, Carefully Picked Scents Including Warm Gourmand Cheirosa 62, Fruity Floral Cheirosa 68, Rose Gourmand Cheirosa 91, and Woody Gourmand Cheirosa 59.",1732279458149536158,"$1,106.40"
ababyandabulldog,Shoes,"$32,600.38",Sports & Outdoor,"$28,648.03","Tanming Women's Baggy Wide-Leg Pants - Casual, Elastic-Waisted, Bohemian Minimalist Basic Women's Clothes Bottom with Pockets,summerwins,summeroutfits,vacationoutfits,beachoutfits,back to school shopping",1729491434710208659,"$11,689.10",PAVOI 14K Gold Plated Adjustable Matching Bracelets for Women – Heart Charm and BFF Friendship Styles,1730595722208973320,"$8,495.47",HEYDUDE Delray Clog Suede – Womens Comfortable Slip on Platform Clog,1731467723863921200,"$8,003.85",Project Cloud Women's | Women's Knit Clogs | Smart Foam | Lightweight | Non-Slip - Nella,1732521149772436024,"$7,549.40",【Creator’s Pick】Halara UltraSculpt High Waisted Tummy Control Pocket Shaping Training Capri Leggings,1731269947944768350,"$4,156.21"
abbey.kline,Beauty & Personal Care,"$33,778.34",Kitchenware,"$3,475.44",tarte glow wardrobe eye & cheek palette - eyeshadow and highlighter makeup,1729570012796261308,"$5,597.23","tarte BB blur tinted moisturizer SPF 30 - instantly brightens, hydrates & smooths your skin",1729584174847071164,"$3,219.21",tarte maracuja juicy multi-stick + brush - double-ended cream blush & bronzer stick,1732418830638027708,"$3,026.07","2-Pcs Halloween Icon Beverage Glass Set, Ghost-Pumpkin Element Hand-Blown Stemless Double Old Fashioned Drinkware with Spill-Reducing Hold, Ghost Icon Style Halloween Home Goods for Boo Basket Fall Gift",1731434701947310826,"$2,226.03",HUELIGHTER Multi-Dimensional Highlighter,1732307682052772635,"$2,033.84"
alexandraarosee,Womenswear & Underwear,"$1,345.85",Baby & Maternity,$203.36,Modal Cotton Foldover Wide-Leg Pants,1732401825526682144,"$1,109.39",Danysu V Neck Cotton Tank Tops with Built-in Shelf Bra Sleeveless Racerback Fitted Basic Cami Shirts campingessentials,1731397819019989366,$164.46,Vitality Cloud II™ Maternity Pant,1732211039095197736,$116.10,MOMANDA Cropped Maternity Tops Summer Short Sleeve Modal Cotton Loose Maternity Tshirts Ultra Soft,1732401819480592928,$87.26,PAVOI 14K Gold Plated 3.5CT Square Radiant Cubic Zirconia Engagement and Promise Ring for Women - Hidden Halo Ring,1731108014030361096,$73.53
alexandracaste,Food & Beverages,$40.08,,,Mazapan Powder Bag | 2lb - Powder Mix for Baking Authentic Mexican Recipes,1732476236165911190,$22.19,Don Beto's Beef Jerky - Fuego,1729719309656297668,$17.89,,,,,,,,,
alisammarie,Furniture,$524.39,Sports & Outdoor,$476.71,[Summervibes] Tribesigns 63-Inch Long French Country Style Wooden Sofa Table for Living Room & Entryway Natural Finish Modern Farmhouse Decor with Sturdy MDF Construction & Foot Pads for Stability,1731489542250795771,$524.39,"【2026 New Arrivals】Trucozie T550 Cordless Vacuum Cleaner, 40kPa Powerful Suction Smart Stick Vacuum with 50 Mins Runtime, 8-in-1 Lightweight Handheld/Upright Vacuum for Hardwood Floor, Carpet, Pet Hair & Car",1731578192195392132,$466.23,Halara Adjustable Straps Ruched Wide Leg Heathered Casual Jumpsuit with Pockets-Easy Peezy,1732255696408843102,$315.61,The Mini Discovery Set,1730273546600747017,$192.06,"Hibbent cUPC Certified 13'' High-Pressure Dual Shower Heads Combo with 10-Mode Length-Adjustable Dual-Head Handheld, 5-Spray Upgraded Rainfall, 12'' Extension Arm, 71'' Hose, Chrome Handheld Holder, Dual-Head Handheld Showers,home essentials",1729698100885689065,$177.35
allthings_andrea,Sports & Outdoor,$39.80,,,"Foldable Travel Yoga Mat with Storage Bag, 1 Count Portable Exercise Mat, Fitness Equipment for Home Gym Workout Mat Pilates Home",1729408794300748065,$39.80,,,,,,,,,,,,
alykate97,Fashion Accessories,"$3,458.91",Womenswear & Underwear,"$1,411.15","Tasiso Women's Floating Cubic Zirconia Pendant Necklace on Invisible Transparent Cord, Minimalist Choker Adjustable Length, Everyday Layering Jewelry, For Woman,Gift,summeroutfits,vacationoutfits,beachoutfits,Thick Clear Invisible Fishing Line",1731992960085430403,"$2,578.58",PAVOI 14K Gold Plated Lobe Lifters for Heavy Earrings for Women - Earring Backs for Droopy Ears - Comfortable Earring Backings for Studs - Trendy Fashion Jewelry Accessories,1731648186027250184,"$1,179.23","【2Packages Shipping】Queen/Full Size Murphy Bed with 2 LED Lights, Farmhouse Wood Hidden Foldable Wall Bed Frame w/Gas Struts, Storage Bed Cabinet for Bedroom, Office, Space-Saving, No Box Spring Needed, Rustic White/Brown",1731495075783873003,"$1,117.27",AUSELILY Babydoll Dress for Women Short Sleeve Button Down Textured Non-clingy Loose Fit Flowy Mini Dress with Pockets 2026 New Summer Dress,1732071775099523793,$471.45,AUSELILY Women's Crewneck Hoodless Sweatshirt With Kangaroo Pocket  Fleece Longsleeve Oversized Casual Style Shirt  Lightweight Pullover 2026,1729586190582256337,$317.58
amanda_hadzimichalis,Womenswear & Underwear,"$6,306.58",Sports & Outdoor,$552.01,FeelinGirl Wireless Bra Women's Seamless Full Coverage Bra Cozy Wide Shoulder Strap Wireless T-Shirt Bra Comfortable Fit Everyday #SummerVibes,1730503134732653217,"$1,220.75","TANKANEO Women's Plus-Size 2-Piece Polyester Shorts Set, Lightweight Short-Sleeve Color Block Shirt & Adjustable Skort, Comfortable Fit Casual Matching Set",1732269584850457312,$816.26,"Vertvie｜GRACE Classic T-Shirt Bra, Jelly Bras, Wireless Full Coverage for All Day Comfort",1731578445279630251,$757.62,Soft Intention Women's Classic Jelly Bra Seamless Wireless Bra Full Coverage Push Up No Underwire Tshirt Comfortable Everyday Plus Size Friendly Jelly,1729472053932167298,$477.69,Eytino Women Plus Size Sweetheart Neck Short Sleeve Shirred Peplum Rib Blouse Tops Shirts(1X-5X),1732173565472641119,$410.12
